"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Lidiya","This book was introduced to us by a child psychologist as a method to reduce separation anxiety. Weather it works for your child in that regard or not, it is a wonderful book to have with important concepts and beautiful illustrations. It is a favourite in our household.","Verified Purchase","Reviewed in Australia on 7 March 2024","4.8 out of 5 stars"
"2","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Christina","This is such a beautiful book and I am so very glad to be able to share it with my daughter.","Verified Purchase","Reviewed in Australia on 4 October 2020","5.0 out of 5 stars"
"3","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Lidiya","This is a beautiful book if you're looking for a book to discuss death to a child. I purchase this for my son when his Poppy died and it helped him understand whats happening in a way a child can intepret/understand. That was covered on two pages, its not just what the book is about. It would also be a great book for kids who suffer from separation anxiety as it covers quite a few scenarios. This can help a child feel connected which is so important. I highly recommend this book. And the author has more books like this one too.","Verified Purchase","Reviewed in Australia on 7 March 2024","1.0 out of 5 stars"
"4","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","TJ","This book is a beautiful concept for young people who have lost a pet or someone close to them.","Verified Purchase","Reviewed in Australia on 18 February 2024","5.0 out of 5 stars"
"5","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Michelle S","This is a beautiful book, i read it to my daughter every night after her dad died.","Verified Purchase","Reviewed in Australia on 6 October 2023","5.0 out of 5 stars"
"6","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","S Currie","This is a beautiful story that my kids love.","Verified Purchase","Reviewed in Australia on 11 November 2023","5.0 out of 5 stars"
"7","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","I have the left and right side of this castle, and it looks absolutely amazing in my 3 foot fish tank. Money well spent.","A beautiful, short analogy that children will understand and remember.  Very comforting.","Verified Purchase","Reviewed in Australia on 15 October 2023","5.0 out of 5 stars"
"8","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Christine","This book is so beautifully written and easy to understand for my 7 year old daughter. The concept is beautiful and reassuring for little minds and hearts going through any type of separation.","Verified Purchase","Reviewed in Australia on 19 October 2023","5.0 out of 5 stars"
"9","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Tanya","Bought this book for an anxious grandchild , love the story -have given as a gift as well","Verified Purchase","Reviewed in Australia on 15 November 2017","5.0 out of 5 stars"
"10","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Lisa","I bought this for my 3yo after she started daycare and was really hating being away from me.  The invisible string is a beautiful idea and helped her to feel more secure. The book explores different types of love, and opened up some conversations for my daughter to imagine what love between herself and other significant people in her life might look like.","Verified Purchase","Reviewed in Australia on 30 June 2023","4.0 out of 5 stars"
"11","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Lidiya","This book is so heart warming. I'm so glad I found it. My twins love it and I replace the names of the twins in the book with their names as I read it haha they looove it .","Verified Purchase","Reviewed in Australia on 7 March 2024","4.8 out of 5 stars"
"12","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Christina","I love this book. We had trouble separating at kinder drop off and this book made it easier for him to realise the love is still there even when I'm not.Great book.","Verified Purchase","Reviewed in Australia on 4 October 2020","5.0 out of 5 stars"
"13","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Yvette F","Book is lovely and well written and really helpful for starting or finding a place to start hard conversation the about loss of loves ones. Whilst can be used for these conversations definitely one for an adult to read together with child.","Verified Purchase","Reviewed in Australia on 31 July 2022","1.0 out of 5 stars"
"14","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","deneal younghusband","Great message especially for young kid’s struggling with separation.","Verified Purchase","Reviewed in Australia on 4 September 2022","5.0 out of 5 stars"
"15","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","ANON","Wonderfully written and illustrated story, highly recommend it","Verified Purchase","Reviewed in Australia on 11 June 2022","5.0 out of 5 stars"
"16","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","Yolandi","This is the gift you give to any child when you’re lost on what to give. It’s a beautiful and poignant read on so many levels. Well written..loved it","Verified Purchase","Reviewed in Australia on 29 January 2023","5.0 out of 5 stars"
"17","Book","The Invisible String: 1 Paperback – Picture Book, 11 December 2018","BrisMum","What a beautiful book 💗 I was recommended this book to help my son and he’s slept fantastic since. Delivery was lightning fast! Arrived the next day  ⚡️ Thank you","Verified Purchase","Reviewed in Australia on 5 November 2022","5.0 out of 5 stars"
