"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Clinton","This unit packs a lot of punch into a compact size. Charges phones quickly and the price is good.","Verified Purchase","Reviewed in Australia on 23 February 2024","4.7 out of 5 stars"
"2","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Kelly Byrne","Slim and lightweight. Comes with charger cable which I have been using for my Samsung phone and bag to store the powerbank. Surprisingly fast charging and I would recommend for the price.","Verified Purchase","Reviewed in Australia on 2 February 2024","5.0 out of 5 stars"
"3","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Clinton","I bought a powerbank before this and it was broken,So I found this on amazon and dont regret it!!I’ve had it for 2 weeks and it charges my phone so fast.I also LOVE how it shows the battery left on the powerbank and has a flashlight,It is just so convenient.I am on Holiday and have been going out all day every day,It charges my phone from 20-80 in 30 minutes to an hour.It charges kind of fast,I recommend charging it at night especially if you will be going out the next day because it takes time.I love powerbanks because I just love knowing that if my battery runs out I can recharge my phone,gives me a sense of security.I showed it to my cousin and charged their phone and in about 45 minutes their iphone went from 8% to 80%.She went “Where did you get it from?And I told her on Amazon”Highly recommend if your always on the go.","Verified Purchase","Reviewed in Australia on 23 February 2024","3.0 out of 5 stars"
"4","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","James Kiernan","This is my first portable charging unit and I must say that I’m very impressed with the quality. Easy to use. Nice size, easy to carry around. Does a good job at recharging. Very happy!","Verified Purchase","Reviewed in Australia on 27 January 2024","5.0 out of 5 stars"
"5","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Ebonny Calvin","I recently purchased the INIU 22.5W Power Bank for my daughter, and it has been an excellent addition to her tech stack. The power bank is compact yet powerful, providing enough juice to keep her devices running throughout the day. The fast charging capabilities are impressive, ensuring that her devices are ready to go when she needs them.One of the things I appreciate most about this power bank is its durability. Despite being tossed around in her bag, it has held up remarkably well, showing no signs of wear and tear. The sleek design is also a plus, adding a touch of style to her tech accessories.Overall, I highly recommend the INIU 22.5W Power Bank. It's a reliable, high-quality product that has become an essential part of my daughter's tech setup.","Verified Purchase","Reviewed in Australia on 18 January 2024","5.0 out of 5 stars"
"6","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Ebonny Calvin","Amazing bit of kit, charges my phone very quickly and very compact in size","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"7","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Apple Tango","The charger looks good and hopefully will be very reliable and hold the charge. It is larger and heavier than I thought, as I will be using it while travelling it will still fit into a pocket in my slash proof  day bag.The price was very reasonable and it arrived the day after I ordered it. Very pleased.","Verified Purchase","Reviewed in Australia on 21 February 2024","5.0 out of 5 stars"
"8","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Anita","Good product. Gets charged quickly and charges phone fast as well. Best part is the battery percentage on it. Great to know when to charge it.","Verified Purchase","Reviewed in Australia on 7 March 2024","4.0 out of 5 stars"
"9","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","Shane","I use it at work but black cable what it came with doesn’t not work with my I phone  so I use one of mine","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars"
"10","Phone Accessories","INIU 22.5W Power Bank, 10000mAh Slim USB C Portable Charger Fast Charging PD3.0 QC4.0, LED Display Battery Pack Portable for iPhone 15 14 13 12 Pro Max Samsung S22 Google LG Xiaomi AirPods Switch iPad","just liz","This battery power pack has been really valuable to me. At the time of purchase, I wondered if it might be a little large and/or heavy. It has proved to be very usable and most fit for purpose.","Verified Purchase","Reviewed in Australia on 25 February 2024","5.0 out of 5 stars"
