"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","cameron2909g","Need I say more.","Verified Purchase","Reviewed in Australia on 22 June 2022","4.6 out of 5 stars"
"2","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Amanda","I was expecting it to be too big but as a teenage girl in fit my head so well","Verified Purchase","Reviewed in Australia on 8 October 2021","5.0 out of 5 stars"
"3","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Purplerachel","Great fit, excellent brand. Bought for the snows perfect for the job.","Verified Purchase","Reviewed in Australia on 26 June 2021","5.0 out of 5 stars"
"4","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Vic","Really light and comfy","Verified Purchase","Reviewed in Australia on 29 December 2019","5.0 out of 5 stars"
"5","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Ellen","Sehr gute Mütze, ich liebe die die ist warm und angenehm zu tragen!Würde ich wieder kaufen!","Verified Purchase","Reviewed in Germany on 11 January 2020","5.0 out of 5 stars"
"6","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Iron","Una sola parola..Top!Morbido e fatto bene,sembra molto caldo,non appena arriva l’inverno lo testerò.Consegna puntuale","Verified Purchase","Reviewed in Italy on 12 September 2019","5.0 out of 5 stars"
"7","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Amber","Purchased for my son as he loves Northface. On our cold days he has appreciated having it. He feels it's stylish, and matches most of his wardrobe. Also fits well when pulled down on his head.","Verified Purchase","Reviewed in the United States on 24 February 2024","5.0 out of 5 stars"
"8","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Dave Russell","A great hat fits well on head and keeps me nice n warm on cold days","Verified Purchase","Reviewed in the United Kingdom on 15 December 2019","5.0 out of 5 stars"
"9","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Client d'Amazon","Super produit et bien chaud .","Verified Purchase","Reviewed in France on 29 December 2023","5.0 out of 5 stars"
"10","Beanie","THE NORTH FACE Ultra Fastpack III GTX Woven Men's Trekking & Hiking Shoes, TNF Black/MELD Grey","Roberto","Comodo e tiene caldo","Verified Purchase","Reviewed in Italy on 29 March 2023","5.0 out of 5 stars"
