"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Madeinxjamaica","Supper cute and professional for work. The color is nice and subtle","Verified Purchase","Reviewed in the United States on 25 October 2022","4.4 out of 5 stars"
"2","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Laura","Love this purse. I have gotten many compliments on it so far. The fact that it comes with a tote, crossbody, and wristlet for less than half the price of my Kate Spade tote is the biggest plus of all. It looks and feels like an expensive brand name bag but for 1/4 the price.","Verified Purchase","Reviewed in the United States on 27 March 2023","5.0 out of 5 stars"
"3","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Elizabeth Goin","The bags are all super cute, look great and arrived quickly!","Verified Purchase","Reviewed in the United States on 7 April 2023","5.0 out of 5 stars"
"4","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Jennifer Connors","This was such a great purchase. Even more beautiful in person. I get compliments on the purses all the time.","Verified Purchase","Reviewed in the United States on 2 March 2023","5.0 out of 5 stars"
"5","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","cheryl kennedyAmazon Customer","Wow!Many size purses. Inside the big oneThe big one is big!Awesome quality","Verified Purchase","Reviewed in Canada on 11 March 2024","5.0 out of 5 stars"
"6","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Nubia N.","Todo bien, relación calidad precio ok","Verified Purchase","Reviewed in Mexico on 9 August 2023","5.0 out of 5 stars"
"7","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Muri Howle","The lavender is exactly as the picture looks. The biggest bag fits 2 iPads and several documents comfortably. It works perfectly for me for work. It has lots of slots for pens and a key holder on each side, which is helpful! I haven’t used the other bags yet, but they are as pictured. The quality is good especially for the price! Seems to be pretty sturdy so far.","Verified Purchase","Reviewed in the United States on 23 March 2024","5.0 out of 5 stars"
"8","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Manuel Alejandro Antunez Valencia","Excelente calidad y muy bonitas","Verified Purchase","Reviewed in Mexico on 28 December 2022","5.0 out of 5 stars"
"9","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Kindle Customer","This purse actually exceeded my expectations. It's very well made, and is very sturdy. Its the hard leather I want, and is just beautiful. It looks exactly like the picture.","Verified Purchase","Reviewed in the United States on 22 March 2024","5.0 out of 5 stars"
"10","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Amazon Customer","Le gusto el regalo","Verified Purchase","Reviewed in the United States on 15 January 2023","5.0 out of 5 stars"
"11","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Madeinxjamaica","Supper cute and professional for work. The color is nice and subtle","Verified Purchase","Reviewed in the United States on 25 October 2022","4.4 out of 5 stars"
"12","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Laura","Love this purse. I have gotten many compliments on it so far. The fact that it comes with a tote, crossbody, and wristlet for less than half the price of my Kate Spade tote is the biggest plus of all. It looks and feels like an expensive brand name bag but for 1/4 the price.","Verified Purchase","Reviewed in the United States on 27 March 2023","5.0 out of 5 stars"
"13","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Elizabeth Goin","The bags are all super cute, look great and arrived quickly!","Verified Purchase","Reviewed in the United States on 7 April 2023","5.0 out of 5 stars"
"14","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Jennifer Connors","This was such a great purchase. Even more beautiful in person. I get compliments on the purses all the time.","Verified Purchase","Reviewed in the United States on 2 March 2023","5.0 out of 5 stars"
"15","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","cheryl kennedyAmazon Customer","Wow!Many size purses. Inside the big oneThe big one is big!Awesome quality","Verified Purchase","Reviewed in Canada on 11 March 2024","5.0 out of 5 stars"
"16","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Nubia N.","Todo bien, relación calidad precio ok","Verified Purchase","Reviewed in Mexico on 9 August 2023","5.0 out of 5 stars"
"17","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Muri Howle","The lavender is exactly as the picture looks. The biggest bag fits 2 iPads and several documents comfortably. It works perfectly for me for work. It has lots of slots for pens and a key holder on each side, which is helpful! I haven’t used the other bags yet, but they are as pictured. The quality is good especially for the price! Seems to be pretty sturdy so far.","Verified Purchase","Reviewed in the United States on 23 March 2024","5.0 out of 5 stars"
"18","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Manuel Alejandro Antunez Valencia","Excelente calidad y muy bonitas","Verified Purchase","Reviewed in Mexico on 28 December 2022","5.0 out of 5 stars"
"19","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Kindle Customer","This purse actually exceeded my expectations. It's very well made, and is very sturdy. Its the hard leather I want, and is just beautiful. It looks exactly like the picture.","Verified Purchase","Reviewed in the United States on 22 March 2024","5.0 out of 5 stars"
"20","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Amazon Customer","Le gusto el regalo","Verified Purchase","Reviewed in the United States on 15 January 2023","5.0 out of 5 stars"
"21","Bags","Women Fashion Synthetic Leather Handbags Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs","Madeinxjamaica","Supper cute and professional for work. The color is nice and subtle","Verified Purchase","Reviewed in the United States on 25 October 2022","4.4 out of 5 stars"
