"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 17 March 2024","4.8 out of 5 stars"
"2","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 1 March 2024","Previous page"
"3","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Robert Smith",NA,"Verified Purchase","Reviewed in Australia on 1 March 2024","4.5 out of 5 stars"
"4","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Aliz",NA,"Verified Purchase","Reviewed in Australia on 14 March 2024","4.8 out of 5 stars"
"5","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Ken Lay",NA,"Verified Purchase","Reviewed in Australia on 13 October 2023","4.6 out of 5 stars"
"6","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Reviewer123",NA,"Verified Purchase","Reviewed in Australia on 26 February 2024","4.8 out of 5 stars"
"7","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Sameer-ji",NA,"Verified Purchase","Reviewed in Australia on 23 January 2024","4.7 out of 5 stars"
"8","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Audriculous",NA,"Verified Purchase","Reviewed in Australia on 11 January 2024","4.8 out of 5 stars"
"9","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Laura",NA,"Verified Purchase","Reviewed in Canada on 9 January 2024","Next page"
"10","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SC",NA,"Verified Purchase","Reviewed in the United Kingdom on 7 December 2023","Previous page"
"11","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 27 March 2024","4.8 out of 5 stars"
"12","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 21 March 2024","Previous page"
"13","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Millsieey",NA,"Verified Purchase","Reviewed in Australia on 13 March 2024","4.5 out of 5 stars"
"14","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Hotroder",NA,"Verified Purchase","Reviewed in Australia on 18 March 2024","4.8 out of 5 stars"
"15","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Ty",NA,"Verified Purchase","Reviewed in Australia on 19 March 2024","4.6 out of 5 stars"
"16","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Kara Seal",NA,"Verified Purchase","Reviewed in Australia on 2 February 2024","4.8 out of 5 stars"
"17","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","pk",NA,"Verified Purchase","Reviewed in Australia on 21 February 2024","4.7 out of 5 stars"
"18","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Kitikatter",NA,"Verified Purchase","Reviewed in Australia on 12 February 2024","4.8 out of 5 stars"
"19","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Fito",NA,"Verified Purchase","Reviewed in Canada on 9 January 2024","Next page"
"20","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Briar-rose knipe",NA,"Verified Purchase","Reviewed in the United Kingdom on 7 December 2023","Previous page"
"21","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 4 March 2024","4.8 out of 5 stars"
"22","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 3 March 2024","Previous page"
"23","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Eva",NA,"Verified Purchase","Reviewed in Australia on 20 January 2024","4.5 out of 5 stars"
"24","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Alexander",NA,"Verified Purchase","Reviewed in Australia on 17 January 2024","4.8 out of 5 stars"
"25","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Daniel H Wylie",NA,"Verified Purchase","Reviewed in Australia on 20 January 2024","4.6 out of 5 stars"
"26","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Mel",NA,"Verified Purchase","Reviewed in Australia on 17 January 2024","4.8 out of 5 stars"
"27","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Shannon Jamieson",NA,"Verified Purchase","Reviewed in Australia on 5 January 2024","4.7 out of 5 stars"
"28","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","redan",NA,"Verified Purchase","Reviewed in Australia on 4 January 2024","4.8 out of 5 stars"
"29","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Jin Yeun",NA,"Verified Purchase","Reviewed in Canada on 9 January 2024","Next page"
"30","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Constance Wee",NA,"Verified Purchase","Reviewed in the United Kingdom on 7 December 2023","Previous page"
"31","Kitchen","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer",NA,"Verified Purchase","Reviewed in Australia on 6 January 2024","4.8 out of 5 stars"
