"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Jenny","Does what it is supposed to do. Very small and compact so it can be brought anywhere. No issues.","Verified Purchase","Reviewed in Australia on 16 November 2023","4.2 out of 5 stars"
"2","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Rich K","Great Cleaning Kit for people like me who build up lots of ear wax. Keeps my earbuds and case clean. Highly recommended.","Verified Purchase","Reviewed in Australia on 9 January 2023","5.0 out of 5 stars"
"3","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Jenny","This is a great product to clean my iPhone EarPods.","Verified Purchase","Reviewed in Australia on 16 November 2023","3.0 out of 5 stars"
"4","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Darren Tai","Item worked well. But the cleaning sponge started to flake and fall apart after only a few cleans","Verified Purchase","Reviewed in Australia on 8 January 2024","5.0 out of 5 stars"
"5","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Madeleine","Simple to use, very compact. I can clean my Airpods earbuds and case, but you need to spend some time to get them impeccably clean.","Verified Purchase","Reviewed in Australia on 17 June 2023","5.0 out of 5 stars"
"6","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Rich K","Works well, cleaned out the charging case nicely, and removed the filth from the earbuds.","Verified Purchase","Reviewed in Australia on 9 January 2023","4.0 out of 5 stars"
"7","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Kemal","When opening the product the cleaning brush was dirty. Looked like it was a used returned product sold again.This product broke","Verified Purchase","Reviewed in Australia on 25 June 2023","3.0 out of 5 stars"
"8","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Scott Patterson","The media could not be loaded.
                
            
                
            
            
        
    
    
You pay for what it said in the description and what you see in the picture, no more, no less.","Verified Purchase","Reviewed in Australia on 18 March 2023","5.0 out of 5 stars"
"9","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Sharon","Great quality and fast delivery, would recommend","Verified Purchase","Reviewed in Australia on 5 December 2023","5.0 out of 5 stars"
"10","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Sharon","Works great","Verified Purchase","Reviewed in Australia on 27 October 2023","1.0 out of 5 stars"
"11","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Jenny","The pick for earwax is amazing and gets the job done well. The brush bit is a little dense but still works well. Same for the long grey part.","Verified Purchase","Reviewed in Australia on 16 November 2023","4.2 out of 5 stars"
"12","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Rich K","Pretty good.","Verified Purchase","Reviewed in Australia on 9 January 2023","5.0 out of 5 stars"
"13","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Angus Burston","Cleans my AirPods well","Verified Purchase","Reviewed in Australia on 20 December 2022","3.0 out of 5 stars"
"14","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Fahim","Good","Verified Purchase","Reviewed in Australia on 5 August 2023","4.0 out of 5 stars"
"15","Electronics","Bluetooth Earbuds Cleaning Pen, Multifunction Airpod Cleaner Kit, Headphone Cases Cleaner Pen Accessories,Washing Anti-Clogging for Wireless Earphones Charging Box (Style-1)","Amelia","Does exactly what you need it to do.","Verified Purchase","Reviewed in Australia on 4 January 2023","5.0 out of 5 stars"
