"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Harry Lawson","I just brought this keyboard to put in my gaming setup and it looks amazing and the rgb looks so good and the overall quality is just great i give this keyboard a 10/10","Verified Purchase","Reviewed in Australia on 16 February 2024","4.6 out of 5 stars"
"2","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","PookieLooni","over all very cute keyboard sounds really nice, pretty loud though and nice soft push back on the keys. Awesome colour didn't expect it to be so bright and easy set up defiantly recommend","Verified Purchase","Reviewed in Australia on 9 November 2023","5.0 out of 5 stars"
"3","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Emma","this keyboard is absolutely adorable! the software (you need to download it from redragon's website) is very easy to use!the default switches are quite loud, but not bad. i might end up switching them, but for now they're nice!!the rgb is also very bright and very pretty!! the keycaps are very cute and the pink is a wonderful pastel colour!!overall a delightful keyboard, i cant wait to use it more! ♡⸜(˃ ᵕ ˂ )⸝","Verified Purchase","Reviewed in Australia on 21 April 2023","5.0 out of 5 stars"
"4","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Michael Gigli","Feels Ike a quality product","Verified Purchase","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars"
"5","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","tim keleher","very good","Verified Purchase","Reviewed in Australia on 9 February 2024","5.0 out of 5 stars"
"6","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Alisa","Using keyboard as a backup - quiet and soft keyboard. Product is as described.","Verified Purchase","Reviewed in Australia on 5 September 2023","5.0 out of 5 stars"
"7","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Samantha D.","The media could not be loaded.
                
            
                
            
            
        
    
    
Love the switches on this keyboard.Solidly built, RGB is fantastic, can make it do whatever you like in Redragon app. Would recommend to anyone","Verified Purchase","Reviewed in Australia on 11 August 2023","5.0 out of 5 stars"
"8","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","naomi vando","Really good switchs it sounds amazing it's done me well with gaming and work overall really good keyboard for the price","Verified Purchase","Reviewed in Australia on 4 August 2023","5.0 out of 5 stars"
"9","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","naomi vando","The media could not be loaded.
                
            
                
            
            
        
    
    
Good build quality and lots of lighting options to play with. And yes it is proper rgb not fake so you can customise the colours","Verified Purchase","Reviewed in Australia on 23 May 2023","5.0 out of 5 stars"
"10","Pillows","Cabeau Evolution S3 Travel Pillow - Straps to Airplane Seat - Ensures Your Head Won't Fall Forward - Relax with Plush Memory Foam - Quick-Dry Fabric Keeps You Cool and Dry Jet Black","Rabbit","works amazing and the looks r great!","Verified Purchase","Reviewed in Australia on 15 May 2023","5.0 out of 5 stars"
