"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Mary Bate","I think to order one more, love it ❤️","Verified Purchase","Reviewed in the United States on March 10, 2024","4.6 out of 5 stars"
"2","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","somiya","It look’s nice clean feel good on hand.","Verified Purchase","Reviewed in the United States on March 7, 2024","5.0 out of 5 stars"
"3","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Cornelia Ungurean","Case holds up and is easy to hold","Verified Purchase","Reviewed in the United States on March 29, 2024","3.0 out of 5 stars"
"4","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","M H","Perfect fit and feels sturdy and cost half  as much as cases in the Apple Store. I will buy this case when updating to the next phone.","Verified Purchase","Reviewed in the United States on March 31, 2024","5.0 out of 5 stars"
"5","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Amazon Customer","I like the durability a lot. I didn’t think it was as strong as it actually is. The magnet on the back is strong too. Metal stuff in my purse (finger nail file) gets stuck to it.","Verified Purchase","Reviewed in the United States on March 26, 2024","5.0 out of 5 stars"
"6","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Ken S.","Great case! I purchased the MagSafe pop socket and car mount as well. Great system!","Verified Purchase","Reviewed in the United States on March 13, 2024","5.0 out of 5 stars"
"7","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","JD","Fits good and looks good. It is super slim. Hope it does not yellow. Will let you know","Verified Purchase","Reviewed in the United States on March 5, 2024","5.0 out of 5 stars"
"8","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Mamahfry4","I got this for my daughter and I’m surprised at how great of a quality it is. She has dropped her phone a few times but accident and this has protected the phone from cracking/breaking. It provides well protection as it is greatly made, plus affordable. Better than the ones in store.","Verified Purchase","Reviewed in the United States on March 23, 2024","5.0 out of 5 stars"
"9","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","justin Davenport","Excelente calidad, no agrega peso.","Verified Purchase","Reviewed in the United States on March 21, 2024","5.0 out of 5 stars"
"10","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Maria Lopez","I bought fir Mr sun for is ohinev this one is  alot better them last one we got .","Verified Purchase","Reviewed in the United States on February 26, 2024","5.0 out of 5 stars"
"11","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Mary Bate","This case is AMAZING. I've had it since November 2022. ESR did an Instagram giveaway of the (then new) iPhone 14 Pro, and I happened to win it! I decided to order their phone case for the iPhone 14 Pro phone, completely on my own accord. I was never prompted to buy their products at any time, but I decided to give them a try since their company was the reason I had a new phone (I had a 2021 Motorola Moto G Power before then, and the camera sucked.💀 As a media com student, I was very grateful to have won the giveaway since I was able to have a summer internship running a camp's social media page with an excellent camera... Definitely a gift from God).I am pleased to say that this case has held up INCREDIBLY well. It hasn't yellowed, though it has darkened just a tad. I think with age the case technology turns a little bit blue almost to counteract that, but it's definitely not UGLY over time. I drop my phone, uh, ALL the time. I'm a HUGE klutz. But my phone has not yet broken and the case has definitely stood the test of time so far. The case certainly has scratches and looks like it's been used for a year and a half, but it's not unattractive by any measure, and especially with the dark purple phone color, any darkening around the edges is hardly detectable until you take the case off the phone.The MagSafe aspect also works very well!! I use a popsocket wallet on the back of the case and it's combined my wallet and phone all in one. Whenever I get in the car, I take the popsocket wallet off and put the phone - case and all - on a MagSafe charger bank I got from WalMart and it charges while I'm driving, propped up nice and stable under the radio. It's really nice to have when I'm using Maps.This case is super convenient, durable, and ages well. Definitely the best option I've seen for a clear case on the market. I'm thinking about buying a phone stand from ESR since their case was so good.","Verified Purchase","Reviewed in the United States on March 10, 2024","4.6 out of 5 stars"
"12","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","somiya","The ESR Air Armor for iPhone 14 Pro Max is a phone case that seamlessly blends form and function, making it an excellent choice for the demanding user. I've seen a lot of claims of ""military-grade"" protection. However, the ESR Air Armor stands out from the rest.MagSafe with Muscle: Unlike most MagSafe cases, the Air Armor's HaloLock ring uses strategically placed, ultra-strong magnets. When I snapped my iPhone onto the case, I felt a satisfying click, and it stayed in place even during vigorous shakes.Drop-Defense Dynamo: ESR's signature Air-Guard corners are not just a gimmick. They are made from a blend of soft TPU and rigid polycarbonate, which effectively disperses impact forces. Although I wouldn't recommend skydiving with it, the Air Armor can handle everyday tumbles with ease.Crystal Clarity with a Catch: The transparent back of the case showcases the sleek design of the iPhone, and it is not prone to scratches like other cases. ESR coats it with a subtle yet effective scratch-resistant layer. However, over time there may be slight yellowing of the back.Verdict: If you are an iPhone 14 Pro Max user who prioritizes both protection and aesthetics, the ESR Air Armor is a no-brainer. Its robust build, MagSafe prowess, and clear back make it a compelling choice for those who are tech-savvy and accident-prone. Just be mindful of potential yellowing over time. Highly Recommend.","Verified Purchase","Reviewed in the United States on March 7, 2024","5.0 out of 5 stars"
"13","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Mary Bate","Can’t find anything to dislike about this case. Magnet back works great. Clear backing is perfect for my work property sticker to be visible. And this thing protects my phone from the unfortunate falls it constantly faces. Raised edges proxy the face and strong back side caused rear iPhone glass to crack. Reinforced corners have been amazing and for the price…you absolutely can not beat it. Protects like high end expensive cases but also keeps the bulk off the phone. Only thing missing is just a rubber texture along the sides to provide more grip rather being smooth to the touch. Either way I love it!","Verified Purchase","Reviewed in the United States on March 10, 2024","3.0 out of 5 stars"
"14","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Scott S","I got mine in the mail today and i absolutely love it! It’s great quality and worth the money. Its sleek design fits perfectly on my phone. Very happy with this purchase! I love it!","Verified Purchase","Reviewed in the United States on January 13, 2024","5.0 out of 5 stars"
"15","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","J. Romero","I recently purchased the transparent iPhone 14 Pro Max case with MagSafe, and while I'm overall satisfied with its performance, there is one noticeable drawback that has become apparent after just a month of use.Let's start with the positives. The build quality of this case is excellent. It's well-constructed, fits the phone perfectly, and the MagSafe feature is a great addition for effortless accessory attachment. The buttons and port cutouts are precise, offering easy access to all essential functions without any hindrance. Plus, it's reassuring to know that my valuable iPhone is protected by a sturdy case that can withstand accidental drops and bumps.The transparency of the case initially impressed me. When I first purchased it, my iPhone's sleek design was beautifully showcased, and I could admire the device's elegance. The MagSafe components are also smoothly integrated into the case, giving it a clean and polished look.However, my enthusiasm has been somewhat dampened by the fact that, after just a month of use, the transparency of the case has notably diminished. It's not as crystal clear as it was when I first got it. The case has become slightly cloudy, which has taken away from the visual appeal of my iPhone. It's disappointing because I specifically chose this case to showcase my device, and now it falls short in that aspect.That said, the reduced transparency doesn't impact the case's primary function, which is to protect the phone. It still performs this task admirably, and the MagSafe feature continues to work perfectly. So, while it might have lost some of its initial appeal, it still fulfills its core purpose.In conclusion, the transparent iPhone 14 Pro Max case with MagSafe is a high-quality product that excels in protecting your device and offers seamless MagSafe compatibility. However, the loss of transparency over time is a concern. If you prioritize protection and functionality over aesthetics, this case is a solid choice. But if you desire a case that remains crystal clear for an extended period, you might need to look elsewhere.","Verified Purchase","Reviewed in the United States on March 27, 2024","5.0 out of 5 stars"
"16","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Veronica Aguon","Nothing super flashy but I wanted a simple, basic protective case so it does everything I need it to and is very comfortable to grip!","Verified Purchase","Reviewed in the United States on March 11, 2024","5.0 out of 5 stars"
"17","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Luis G Betancourt","Perfect …. Fits like a glove, subtle color, looks great, works perfectly","Verified Purchase","Reviewed in the United States on October 21, 2023","5.0 out of 5 stars"
"18","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Vi","I always buy clear cases but this one was crystal clear and a very nice fit and finish. The magnet on this one is very strong, I like to mount my phone to a magnetic holder in my car and this one holds perfectly with a strong connection, I don’t worry about it falling off the mount at all.","Verified Purchase","Reviewed in the United States on March 14, 2024","4.0 out of 5 stars"
"19","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","DGenre","This case hasn’t yellowed in the 7 months of use. I do rotate between cases but I carry my phone in my hand a lot. I’ve dropped my phone more times then I care to admit and unlike other cases this one had a bevel that downs let the screen protector get cracked unlike some other cases I have. The customer service is amazing. Had an issue with a hairline crack but it was more cosmetic and they are taking care of it. Again I drop my phone when I leave in my lap when I get up. The MagSafe is great and way better then 80% of other MagSafe cases I’ve tried","Verified Purchase","Reviewed in the United States on March 27, 2024","5.0 out of 5 stars"
"20","Phone Case","ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear","Steven Lafontaine","The magnets on these bad boys sure can stick! I have mine paired with a ESR magsafe wallet case with Find My and its worlds better than a case with a wallet slot. The wallet never comes detached unless i actually pull rather hard. This case is sleek and minimalistic while still seeming durable. I have fallen in love with the ESR lineup and ecosystem, you cannot beat them for quality and customer service! They quickly warrantied another case I had purchased for my iPhone 12 when the small magnet came detached from the case due to defective adhesion. The extra price for ESR is worth it when they stand behind their product.","Verified Purchase","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars"
