"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Les","As someone who is switching from another brand to Fujifilm, I have found this a massive learning curve. Not so much with the exposure triangle, although this is a little different than the way it worked in my last camera, nor with the actual use of this camera. But the number of settings that can be found in the menu can be, at times, overwhelming. I'm still trying to get my head around some of them, and I have come from a background of film before moving onto digital and now, at 75, I have moved into mirrorless.Do I like the camera? No, I don't..... I LOVE this little beast and would recommend it to anyone that is thinking of changing to mirrorless. The fact that it is, like the majority of Fujifilm cameras, APSC and not full frame may turn a few people off, but I don't see that as a negative. At 40mp you can still make an enlargement of 24-inch (61cm) X 36 (91cm) inches without any loss and, if you wish to push things a little further, then 40 (101cm) X 60 (152cm) isn't out of reach either. Do you need larger prints than that? I know that I don't.","Verified Purchase","Reviewed in Australia on 26 January 2024","4.6 out of 5 stars"
"2","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Denis Fitzgerald","The X-T5 is a great upgrade with ibis built in. Nice and light. Many options and that fujifilm retro look.","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars"
"3","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Andrew","Very prompt delivery. Great service as usual from amazon.I have had a Fuji Film X100s for 10 years and loved it, so decided to upgade.  Only a couple of weeks  with X-T5 camera but so pleased. Less bulky than my full size DSLR Nikon, all the manual dials  and film simulation love of Fuijifilm.","Verified Purchase","Reviewed in Australia on 10 December 2023","5.0 out of 5 stars"
"4","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Sanjeev Chopra","I find the X-T5 auto focus to be amazing on any subject now! It’s blazing fast. The 40MP sensor really shines with the Fujinon XF 16-80 f4 lens. And yes!! love the Fuji film simulations in the camera. I’m a very happy customer","Verified Purchase","Reviewed in Australia on 29 January 2023","5.0 out of 5 stars"
"5","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","lighthunter","I come from Canon full frame mirrorless (EOS R) and found the transition to Fujifilm easy. The X-T5 is a very capable camera and delivers very good images. I like the customizability and manual control dials. The overall ergonomics are fine for a relatively small body like this. The film simulations and jpg recipes make this a perfect camera for quick results if you don't want to spend time developing raws. The autofocus and face detection is good but not as good even compared to my older Canon EOS R. It's close enough though to not be a problem. I am using mostly AF-C and face detection on with high success rates. I give it only four stars due to some initial software glitches which I never had with Canon and for the use of some plastic in a premium body like this. I have absolutely no regrets and can highly recommend this camera to anyone who wants a small body with maximum capabilities.","Verified Purchase","Reviewed in Australia on 24 March 2024","5.0 out of 5 stars"
"6","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Cliente Amazon","En general estaba contento con el funcionamiento de la cámara, pero la tuve que devolver porqué a las 3 semanas de tenerla no se encendía, ni aunque la conectara a la corriente. Quitar y volver a poner la batería solucionó el problema pero no creo que sean aceptables estos tipos de problemas en una cámara nueva de este precio.Además, el botón de encender y apagar tenía una ligera holgura y bailaba. Adicionalmente la batería duraba muy poco, aunque en las reviews online suelen alabar su duración. Supongo que me tocó una unidad defectuosa.Mención especial al decepcionante trato recibido por Amazon que no me ofreció la posibilidad de reemplazar el producto por uno nuevo a pesar de haber pasado menos de un mes de la recepción de la cámara. He tramitado la devolución y tendré que decidir si me la juego y la vuelvo a comprar con la esperanza de que la nueva unidad no tenga fallos o si busco otras alternativas, quizás también a Amazon","Verified Purchase","Reviewed in Spain on 14 September 2023","4.0 out of 5 stars"
"7","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Rosa M.","Me ha gustado,pero estoy empezando a saber el manejo","Verified Purchase","Reviewed in Spain on 6 July 2023","2.0 out of 5 stars"
"8","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Stuart","Bonjour, vous pouvez lire beaucoup d'articles en ligne sur ce produit. J'ai du mal à l'utiliser correctement peut-être puisque j'ai reçu un mode d'emploi en allemand (que je ne lis pas). J'ai demandé à Amazon et ils disent de lire la version numérique en ligne et de contacter le fabricant (ce que j'ai fait)","Verified Purchase","Reviewed in France on 24 June 2023","5.0 out of 5 stars"
"9","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","Sergio marinacci","Avevo la XT 4 e trovo solo migliorie in questo nuovo gioiello che ha messo a disposizione Fujifilm.Autofocus più che reattivo anche con lenti non ottimizzate.Posso croppare un bel po L immagine senza nessuna perdita di dettaglio.Gran bello strumento.","Verified Purchase","Reviewed in Italy on 30 September 2023","2.0 out of 5 stars"
"10","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","MiriamS","La compré junto el objetivo 18-55 que viene en el kit y muy contenta. Con el tiempo espero hacerme con el 16-55.De manejo muy cómoda y el embalaje en perfecto estado. No disparo en JPG por lo que no puedo hablar de las simulaciones de película pero la calidad de los RAW es impresionante.","Verified Purchase","Reviewed in Spain on 11 July 2023","5.0 out of 5 stars"
"11","Electronics","Fujifilm X-T5 Mirrorless Digital Camera Body, Black","ju-52","この製品が発売になってから、ずーっとニコンとソニーのフルサイズに気を引かれ迷っていましたが、やはりX-T5のデザインで選びました。小型、軽量、画素数にも満足していますし、ダイヤルがいい、50年前初めて買った一眼レフを思い出し、毎日意味もなく回しています。あまり大型にならないボディのフルサイズが出ると良いですね。","Verified Purchase","Reviewed in Japan on 16 February 2024","4.6 out of 5 stars"
