"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shoes","adidas Originals Samba OG Trainers","Cha2rtm","Fits perfectly. Comfortable. Nice shoes!","Verified Purchase","Reviewed in Australia on 28 December 2022","4.3 out of 5 stars"
"2","Shoes","adidas Originals Samba OG Trainers","Fouad","I bought adidas samba size 7.5 by $ 34.80 last week but now the price $ 146","Verified Purchase","Reviewed in Australia on 10 May 2020","5.0 out of 5 stars"
"3","Shoes","adidas Originals Samba OG Trainers","sam condon","Good looking sneakers. Went half a size up after reading other reviews but don’t think that is necessary. Only downside is that the soles squeak on a lot of surfaces!","Verified Purchase","Reviewed in Australia on 15 February 2021","5.0 out of 5 stars"
"4","Shoes","adidas Originals Samba OG Trainers","Dave Gladwin","Fast delivery and great retro shoe","Verified Purchase","Reviewed in Australia on 23 June 2019","3.0 out of 5 stars"
"5","Shoes","adidas Originals Samba OG Trainers","Dean Seketin","Great shoes","Verified Purchase","Reviewed in Australia on 31 May 2019","5.0 out of 5 stars"
"6","Shoes","adidas Originals Samba OG Trainers","Uwe B. aus Buckow","Das ist der Sportschuh, den ich schon in der Schule getragen hatte. Sauteuer damals, hat meine Mutter nur selten mitgemacht. Zur Not musste dann ein Lico herhalten, der mega uncool war.Immer noch stylish, immer noch super Qualität. Leider zuerst zu klein, Umtausch aber kein Problem. Also super zufrieden.","Verified Purchase","Reviewed in Germany on 1 July 2023","5.0 out of 5 stars"
"7","Shoes","adidas Originals Samba OG Trainers","EmKat","My son's favorite shoe. It's extremely difficult to find the Samba in stock.  I was happy to discover that this seller had the size I needed!","Verified Purchase","Reviewed in the United States on 12 January 2019","5.0 out of 5 stars"
"8","Shoes","adidas Originals Samba OG Trainers","Emily","Ho provato prima la taglia in negozio dello stesso prodotto ma Vegan. Il modello Samba è l'unico a vestire pochissimo! (Sono solitamente un 42.5 e ho dovuto ordinare un 44). Le scarpe sono bellissime e di ottima fattura, comunque vestono leggermente di più del modello vegano provato in negozio e sono molto dure, fanno rumore ad ogni passo. Ma al di là di questo le raccomando, bellissime e anche calde! Venditore ottimo le ho ricevute di sabato, tre giorni prima del previsto.","Verified Purchase","Reviewed in Italy on 9 October 2023","5.0 out of 5 stars"
"9","Shoes","adidas Originals Samba OG Trainers","de_sportsfreund","Ich trage Sambas als Alltagsschuhe und kann eigentlich nur positives berichten. Er ist schlicht, sportlich und kommt bei mir fast überall zum Einsatz. Ob auf Festivals, an der Uni oder beim Sport. Der Schuh hält! Ich habe bis jetzt keine anderen Schuhe gehabt, der so lange und so viele verschiedene Sachen überlebt haben.Dies ist jetzt schon mein drittes Paar Sambas, aber nicht weil diese kaputt gehen, sondern weil ich die Schuhe wirklich jeden Tag und immer an habe. Gebrauchsspuren und Abnutzung lassen sich da leider nicht vermeiden, ich finde sogar, dass die Schuhe eingetragen fast noch besser aussehen. Zur Qualität des ""neuen Modells"", was meine Vorredner bemängeln, kann ich nicht viel berichten. Trage dieses Paar erst seit einem Monat (täglich versteht sich) und sie sehen immer noch aus wie neu. Meine vorherigen Sambas waren echt unkaputtbar, das Leder hat sich zwar leicht abgenutzt und an der Ferse gab es helle Stellen, aber das wohlgemerkt nach 4 Jahren täglichen Tragen kann ich verkraften! Die Sohle nutzt sich nur minimal an der Ferse und am Fußballen ab (finde ich aber eher vorteilhaft, da der eingetragene Schuh dann noch angenehmer zu tragen ist).Aber wenn sich die Qualität gegenüber den Vorgängern wirklich verschlechtert hat, werde ich es berichten.Einziges Manko: die Schuhe qietschen, wenn sie neu sind. Die Lasche reibt beim gehen so unvorteilhaft oben am Schuhinnenrand, dass bei jedem Schritt ein leises ""ihu, ihu, ihu"" zu hören ist. Fällt nur auf, wenn es ganz sonst ganz leise ist. In der Bibliothek kam ich mir schon etwas bescheuert vor... deshalb einen halben Stern abzug. 4,5 Sterne+ Style (Geschmackssache, aber ich steh einfach drauf)+ Qualität (bin kein Leder Experte, aber für mich sieht das echt aus, Sohle massiv und nutzt sich kaum ab)+ Verarbeitung (Die Schuhe halten echt alles aus und sind Wasserdicht, solange man nicht in knöcheltiefe Pfützen tritt)- Qietschen, wenn sie neu sind (meiner Meinung nach einziges Manko am Schuh)","Verified Purchase","Reviewed in Germany on 2 February 2016","5.0 out of 5 stars"
"10","Shoes","adidas Originals Samba OG Trainers","Danny Feeney","Very comfy, creak a bit after a few weeks of wear.","Verified Purchase","Reviewed in the United Kingdom on 27 December 2023","5.0 out of 5 stars"
